Num seq;repeticiones;rssi;timestamp
125;2;-84.00;17:25:57
126;9;-54.67;17:25:59
127;4;-60.75;17:26:01
128;6;-54.33;17:26:03
129;7;-54.00;17:26:05
130;8;-55.13;17:26:07
131;5;-56.80;17:26:09
132;7;-57.29;17:26:11
133;6;-54.83;17:26:13
134;7;-53.71;17:26:15
135;3;-65.67;17:26:17
136;7;-62.57;17:26:19
137;7;-56.57;17:26:21
138;6;-47.00;17:26:23
139;7;-49.14;17:26:25
140;6;-59.50;17:26:27
141;7;-62.29;17:26:29
142;7;-68.00;17:26:31
143;5;-72.60;17:26:33
144;5;-79.60;17:26:35
145;5;-72.60;17:26:37
146;7;-70.86;17:26:39
147;7;-72.71;17:26:41
148;7;-72.86;17:26:43
149;7;-77.86;17:26:45
150;5;-77.00;17:26:47
151;7;-79.29;17:26:49
152;6;-85.50;17:26:51
153;6;-79.83;17:26:53
154;6;-79.33;17:26:55
155;7;-76.86;17:26:57
156;6;-68.83;17:26:59
157;7;-65.57;17:27:01
158;3;-72.00;17:27:03
159;5;-68.80;17:27:05
160;6;-70.33;17:27:07
161;6;-63.83;17:27:09
162;4;-73.00;17:27:11
163;4;-69.75;17:27:13
164;5;-71.40;17:27:15
165;5;-64.60;17:27:17
166;7;-59.00;17:27:19
167;5;-54.00;17:27:21
168;5;-52.40;17:27:23
169;7;-66.00;17:27:25
170;6;-59.00;17:27:27
171;6;-63.17;17:27:29
172;5;-68.80;17:27:31
173;4;-74.75;17:27:33
174;4;-72.00;17:27:35
175;7;-78.14;17:27:37
176;7;-85.43;17:27:39
177;5;-84.40;17:27:41
178;3;-92.00;17:27:43
179;3;-93.00;17:27:45
180;4;-89.75;17:27:47
181;4;-88.25;17:27:49
182;4;-84.75;17:27:51
183;4;-86.75;17:27:53
184;3;-85.00;17:27:55
185;7;-85.57;17:27:57
186;6;-82.00;17:27:59
187;6;-82.67;17:28:01
188;6;-83.50;17:28:03
189;7;-83.29;17:28:05
190;5;-86.80;17:28:07
191;5;-85.20;17:28:09
192;4;-81.00;17:28:11
193;6;-74.00;17:28:13
194;7;-72.00;17:28:15
195;7;-75.14;17:28:17
196;5;-71.00;17:28:19
197;6;-70.83;17:28:21
198;6;-77.00;17:28:23
199;7;-74.57;17:28:25
200;6;-79.33;17:28:27
201;6;-80.00;17:28:29
202;6;-84.17;17:28:31
203;5;-82.20;17:28:33
204;7;-81.86;17:28:35
205;6;-82.50;17:28:37
206;3;-89.33;17:28:39
207;2;-92.50;17:28:41
208;3;-89.33;17:28:43
209;1;-98.00;17:28:45
210;2;-90.00;17:28:47
211;5;-88.80;17:28:49
212;5;-91.20;17:28:51
213;4;-95.25;17:28:53
214;1;-96.00;17:28:55
215;3;-95.67;17:28:57
216;2;-92.50;17:28:59
217;1;-96.00;17:29:01
218;2;-93.00;17:29:03
219;2;-94.50;17:29:05
220;1;-90.00;17:29:07
221;5;-90.80;17:29:09
222;3;-94.33;17:29:11
223;4;-94.25;17:29:13
224;1;-99.00;17:29:15
225;2;-97.00;17:29:19
227;2;-93.50;17:29:21
228;4;-92.50;17:29:25
230;6;-93.50;17:29:27
231;4;-95.00;17:29:29
232;4;-95.25;17:29:31
233;4;-94.00;17:29:33
234;3;-93.33;17:29:35
235;2;-95.00;17:29:37
236;4;-95.00;17:29:39
237;6;-91.83;17:29:41
238;5;-85.40;17:29:43
239;6;-87.00;17:29:45
240;2;-88.50;17:29:47
241;4;-91.25;17:29:49
242;3;-91.00;17:29:51
243;3;-90.67;17:29:53
244;4;-89.50;17:29:55
245;4;-91.75;17:29:57
246;1;-88.00;17:29:59
247;6;-90.00;17:30:01
248;2;-85.50;17:30:03
249;4;-90.50;17:30:05
250;6;-86.33;17:30:07
251;6;-82.00;17:30:09
252;4;-80.00;17:30:11
253;7;-78.00;17:30:13
254;6;-77.67;17:30:15
255;6;-70.17;17:30:17
256;8;-74.00;17:30:19
257;6;-74.50;17:30:21
258;7;-70.86;17:30:23
259;6;-75.67;17:30:25
260;6;-82.00;17:30:27
261;6;-88.00;17:30:29
262;6;-90.83;17:30:31
263;7;-90.00;17:30:33
264;4;-92.75;17:30:36
265;1;-95.00;17:30:37
266;2;-97.00;17:30:39
267;2;-98.50;17:30:41
268;1;-100.00;17:30:43
269;2;-95.00;17:30:45
270;2;-95.00;17:30:47
271;1;-94.00;17:30:49
272;3;-93.67;17:30:51
273;2;-96.00;17:30:54
274;1;-97.00;17:30:55
275;3;-92.33;17:30:57
276;3;-95.67;17:31:00
277;2;-92.00;17:31:01
278;1;-96.00;17:31:07
281;1;-88.00;17:31:09
282;6;-92.00;17:31:11
283;7;-88.43;17:31:13
284;3;-82.67;17:31:15
285;6;-90.50;17:31:17
286;5;-95.00;17:31:19
287;4;-91.75;17:31:21
288;4;-94.75;17:31:23
289;2;-94.50;17:31:25
290;4;-96.00;17:31:27
291;3;-90.00;17:31:29
292;3;-89.67;17:31:31
293;3;-95.33;17:31:33
294;3;-94.00;17:31:36
295;2;-89.00;17:31:37
296;2;-96.00;17:31:39
297;1;-98.00;17:31:41
298;2;-95.00;17:31:46
300;1;-97.00;17:31:47
301;5;-96.60;17:31:49
302;2;-93.00;17:31:51
303;2;-95.50;17:31:54
304;1;-97.00;17:31:55
305;2;-92.50;17:31:57
306;4;-91.25;17:31:59
307;5;-93.40;17:32:01
308;3;-92.00;17:32:03
309;3;-95.67;17:32:05
310;3;-94.67;17:32:07
311;4;-95.75;17:32:09
312;1;-94.00;17:32:11
313;3;-93.33;17:32:13
314;3;-95.67;17:32:15
315;1;-101.00;17:32:35
325;1;-96.00;17:32:37
326;2;-97.00;17:32:39
327;1;-97.00;17:32:41
328;1;-97.00;17:32:43
329;1;-97.00;17:32:48
331;1;-99.00;17:34:01
368;2;-96.00;17:34:05
370;1;-96.00;17:34:28
381;1;-96.00;17:34:30
382;1;-96.00;17:34:31
383;1;-96.00;17:34:35
385;1;-97.00;17:35:53
424;2;-94.50;17:35:55
425;6;-88.83;17:36:01
428;1;-91.00;17:36:03
429;6;-91.33;17:36:05
430;5;-91.80;17:36:07
431;6;-90.17;17:36:09
432;4;-93.25;17:36:11
433;4;-92.00;17:36:13
434;4;-88.75;17:36:15
435;5;-87.40;17:36:17
436;4;-89.50;17:36:19
437;5;-89.40;17:36:21
438;2;-92.50;17:36:23
439;4;-88.75;17:36:25
440;6;-86.67;17:36:27
441;7;-91.00;17:36:29
442;2;-88.50;17:36:31
443;7;-87.29;17:36:33
444;3;-87.33;17:36:35
445;4;-90.50;17:36:37
446;5;-88.20;17:36:39
447;4;-84.50;17:36:41
448;6;-89.67;17:36:43
449;3;-90.00;17:36:45
450;3;-87.00;17:36:47
451;5;-88.60;17:36:49
452;9;-87.89;17:36:51
453;6;-85.67;17:36:53
454;5;-89.40;17:36:55
455;6;-89.33;17:36:57
456;4;-89.75;17:36:59
457;3;-92.33;17:37:01
458;1;-89.00;17:37:03
459;7;-91.29;17:37:05
460;1;-93.00;17:37:07
461;1;-95.00;17:37:09
462;1;-94.00;17:37:11
463;3;-96.00;17:37:13
464;3;-98.33;17:37:18
466;1;-95.00;17:37:23
469;1;-96.00;17:37:36
475;1;-97.00;17:37:37
476;2;-97.50;17:37:39
477;1;-98.00;17:37:41
478;3;-97.67;17:37:43
