Num seq;repeticiones;rssi;timestamp
647;8;-98.63;17:43:21
648;6;-87.17;17:43:23
649;3;-91.00;17:43:29
652;4;-94.25;17:43:31
653;4;-91.25;17:43:34
654;1;-96.00;17:44:15
675;2;-96.00;17:44:19
677;1;-100.00;17:44:21
678;2;-92.00;17:44:23
679;5;-90.80;17:44:26
680;1;-97.00;17:44:27
681;3;-94.33;17:44:30
682;1;-94.00;17:44:31
683;4;-92.50;17:44:33
684;3;-94.67;17:44:35
685;1;-96.00;17:44:37
686;1;-97.00;17:46:05
730;2;-95.50;17:46:07
731;1;-91.00;17:46:09
732;1;-95.00;17:46:13
734;4;-94.50;17:46:15
735;3;-93.00;17:46:17
736;1;-95.00;17:46:19
737;2;-97.00;17:46:25
740;1;-97.00;17:46:27
741;1;-93.00;17:47:05
760;2;-93.50;17:47:07
761;1;-95.00;17:47:09
762;1;-96.00;17:47:11
763;1;-88.00;17:48:49
812;2;-92.50;17:48:54
814;1;-89.00;17:48:55
815;5;-89.20;17:48:57
816;6;-87.00;17:48:59
817;6;-84.33;17:49:01
818;4;-80.00;17:49:03
819;5;-85.20;17:49:05
820;4;-84.75;17:49:07
821;5;-79.40;17:49:09
822;5;-84.40;17:49:11
