Num seq;repeticiones;rssi;timestamp
351;7;-102.57;21:00:41
352;4;-90.00;21:00:43
353;6;-89.33;21:00:45
354;7;-87.14;21:00:47
355;6;-87.33;21:00:49
356;4;-88.50;21:00:51
357;6;-86.83;21:00:53
358;4;-87.75;21:00:55
359;3;-90.33;21:00:57
360;7;-88.43;21:00:59
361;5;-89.40;21:01:01
362;4;-91.50;21:01:03
363;6;-91.67;21:01:05
364;3;-92.00;21:01:07
365;5;-93.80;21:01:09
366;5;-93.60;21:01:11
367;4;-91.25;21:01:13
368;5;-92.80;21:01:15
369;4;-91.75;21:01:17
370;5;-91.40;21:01:19
371;2;-90.00;21:01:21
372;4;-95.00;21:01:23
373;4;-96.00;21:01:25
374;3;-97.00;21:01:27
375;3;-98.33;21:01:29
376;2;-96.50;21:01:31
377;2;-97.00;21:01:33
378;3;-95.33;21:01:35
379;4;-95.75;21:01:37
380;6;-94.83;21:01:39
